idx,mask_type,metric,region,method,value
20977,brush,ssim,known,repaint,0.9062155485153198
20977,brush,ssim,known,bar,0.897449791431427
20546,center,ssim,full,baseline,0.8392499685287476
20546,center,ssim,full,repaint,0.840343713760376
20546,center,ssim,full,bar,0.8276446461677551
20546,center,ssim,hole,baseline,0.5895923376083374
20546,center,ssim,hole,repaint,0.5954688787460327
20546,center,ssim,hole,bar,0.5127809643745422
20546,center,ssim,known,baseline,0.8869145512580872
20546,center,ssim,known,repaint,0.8870950937271118
20546,center,ssim,known,bar,0.8877583146095276
20546,half,ssim,full,baseline,0.6701720952987671
20546,half,ssim,full,repaint,0.72626793384552
20546,half,ssim,full,bar,0.7339605093002319
20546,half,ssim,hole,baseline,0.4225809574127197
20546,half,ssim,hole,repaint,0.5624217987060547
20546,half,ssim,hole,bar,0.557476818561554
20546,half,ssim,known,baseline,0.9177632331848145
20546,half,ssim,known,repaint,0.8901141285896301
20546,half,ssim,known,bar,0.9104442596435547
20546,brush,ssim,full,baseline,0.8418436646461487
20546,brush,ssim,full,repaint,0.8589388728141785
20546,brush,ssim,full,bar,0.8541554808616638
20546,brush,ssim,hole,baseline,0.668349027633667
20546,brush,ssim,hole,repaint,0.7297826409339905
20546,brush,ssim,hole,bar,0.7105352282524109
20546,brush,ssim,known,baseline,0.8787630200386047
20546,brush,ssim,known,repaint,0.8864231705665588
20546,brush,ssim,known,bar,0.8847176432609558
21551,center,ssim,full,baseline,0.8596529960632324
21551,center,ssim,full,repaint,0.8839535713195801
21551,center,ssim,full,bar,0.8777803182601929
21551,center,ssim,hole,baseline,0.6646935343742371
21551,center,ssim,hole,repaint,0.8105378150939941
21551,center,ssim,hole,bar,0.7718011736869812
21551,center,ssim,known,baseline,0.8968745470046997
21551,center,ssim,known,repaint,0.8979700803756714
21551,center,ssim,known,bar,0.8980137705802917
21551,half,ssim,full,baseline,0.608741283416748
21551,half,ssim,full,repaint,0.7005710601806641
21551,half,ssim,full,bar,0.6967642307281494
21551,half,ssim,hole,baseline,0.3323063850402832
21551,half,ssim,hole,repaint,0.5173843502998352
21551,half,ssim,hole,bar,0.5073692798614502
21551,half,ssim,known,baseline,0.8851763010025024
21551,half,ssim,known,repaint,0.8837578296661377
21551,half,ssim,known,bar,0.8861592411994934
21551,brush,ssim,full,baseline,0.8409518003463745
21551,brush,ssim,full,repaint,0.8609791994094849
21551,brush,ssim,full,bar,0.8588933944702148
21551,brush,ssim,hole,baseline,0.6964784264564514
21551,brush,ssim,hole,repaint,0.7699081301689148
21551,brush,ssim,hole,bar,0.7587944865226746
21551,brush,ssim,known,baseline,0.8888317942619324
21551,brush,ssim,known,repaint,0.8911609649658203
21551,brush,ssim,known,bar,0.8920671939849854
24070,center,ssim,full,baseline,0.8340069651603699
24070,center,ssim,full,repaint,0.8349088430404663
24070,center,ssim,full,bar,0.8450497388839722
24070,center,ssim,hole,baseline,0.4163651764392853
24070,center,ssim,hole,repaint,0.41835328936576843
24070,center,ssim,hole,bar,0.4888671636581421
24070,center,ssim,known,baseline,0.9137429594993591
24070,center,ssim,known,repaint,0.9144374132156372
24070,center,ssim,known,bar,0.9130519032478333
24070,half,ssim,full,baseline,0.6521925330162048
24070,half,ssim,full,repaint,0.7622101306915283
24070,half,ssim,full,bar,0.7760463953018188
24070,half,ssim,hole,baseline,0.42472711205482483
24070,half,ssim,hole,repaint,0.6501671671867371
24070,half,ssim,hole,bar,0.6741891503334045
24070,half,ssim,known,baseline,0.8796579837799072
24070,half,ssim,known,repaint,0.8742531538009644
24070,half,ssim,known,bar,0.8779036402702332
24070,brush,ssim,full,baseline,0.847691535949707
24070,brush,ssim,full,repaint,0.8599249124526978
24070,brush,ssim,full,bar,0.8573834896087646
24070,brush,ssim,hole,baseline,0.6943925619125366
24070,brush,ssim,hole,repaint,0.7424430847167969
24070,brush,ssim,hole,bar,0.7341219186782837
24070,brush,ssim,known,baseline,0.8918648362159729
24070,brush,ssim,known,repaint,0.89377760887146
24070,brush,ssim,known,bar,0.8929015398025513
3141,center,ssim,full,baseline,0.8774553537368774
3141,center,ssim,full,repaint,0.8319096565246582
3141,center,ssim,full,bar,0.8892924785614014
3141,center,ssim,hole,baseline,0.7263669967651367
3141,center,ssim,hole,repaint,0.7376762628555298
3141,center,ssim,hole,bar,0.7426697015762329
3141,center,ssim,known,baseline,0.9063010811805725
3141,center,ssim,known,repaint,0.8499006628990173
3141,center,ssim,known,bar,0.9172855615615845
3141,half,ssim,full,baseline,0.6298114657402039
3141,half,ssim,full,repaint,0.6750732660293579
3141,half,ssim,full,bar,0.7244634628295898
3141,half,ssim,hole,baseline,0.35420551896095276
3141,half,ssim,hole,repaint,0.5265353918075562
3141,half,ssim,hole,bar,0.5432157516479492
3141,half,ssim,known,baseline,0.9054173827171326
3141,half,ssim,known,repaint,0.8236111402511597
3141,half,ssim,known,bar,0.9057110548019409
3141,brush,ssim,full,baseline,0.8442667722702026
3141,brush,ssim,full,repaint,0.8696239590644836
3141,brush,ssim,full,bar,0.8665989637374878
3141,brush,ssim,hole,baseline,0.678433895111084
3141,brush,ssim,hole,repaint,0.7612898945808411
3141,brush,ssim,hole,bar,0.7494275569915771
3141,brush,ssim,known,baseline,0.898407518863678
3141,brush,ssim,known,repaint,0.9049925804138184
3141,brush,ssim,known,bar,0.9048529267311096
4108,center,ssim,full,baseline,0.8609305620193481
4108,center,ssim,full,repaint,0.8624424934387207
4108,center,ssim,full,bar,0.8681485652923584
4108,center,ssim,hole,baseline,0.6264092922210693
4108,center,ssim,hole,repaint,0.6829454302787781
4108,center,ssim,hole,bar,0.6566985845565796
4108,center,ssim,known,baseline,0.9057052731513977
4108,center,ssim,known,repaint,0.8967120051383972
4108,center,ssim,known,bar,0.9085184931755066
4108,half,ssim,full,baseline,0.5799335837364197
4108,half,ssim,full,repaint,0.6568613052368164
4108,half,ssim,full,bar,0.7092199921607971
4108,half,ssim,hole,baseline,0.23481988906860352
4108,half,ssim,hole,repaint,0.45313382148742676
4108,half,ssim,hole,bar,0.49612870812416077
4108,half,ssim,known,baseline,0.9250472784042358
4108,half,ssim,known,repaint,0.8605887293815613
4108,half,ssim,known,bar,0.9223113059997559
4108,brush,ssim,full,baseline,0.8302438259124756
4108,brush,ssim,full,repaint,0.8529548645019531
4108,brush,ssim,full,bar,0.8421590924263
4108,brush,ssim,hole,baseline,0.6914597153663635
4108,brush,ssim,hole,repaint,0.7559256553649902
4108,brush,ssim,hole,bar,0.7442840337753296
4108,brush,ssim,known,baseline,0.8811833262443542
4108,brush,ssim,known,repaint,0.8885686993598938
4108,brush,ssim,known,bar,0.8780834674835205
5880,center,ssim,full,baseline,0.8484100103378296
5880,center,ssim,full,repaint,0.8476769924163818
5880,center,ssim,full,bar,0.845075249671936
5880,center,ssim,hole,baseline,0.504252016544342
5880,center,ssim,hole,repaint,0.49060729146003723
5880,center,ssim,hole,bar,0.47834864258766174
5880,center,ssim,known,baseline,0.9141165018081665
5880,center,ssim,known,repaint,0.9158484935760498
5880,center,ssim,known,bar,0.9150905013084412
5880,half,ssim,full,baseline,0.6363003849983215
5880,half,ssim,full,repaint,0.6433717012405396
5880,half,ssim,full,bar,0.6852397918701172
5880,half,ssim,hole,baseline,0.368577241897583
5880,half,ssim,hole,repaint,0.42143818736076355
5880,half,ssim,hole,bar,0.45146098732948303
5880,half,ssim,known,baseline,0.9040235280990601
5880,half,ssim,known,repaint,0.8653050661087036
5880,half,ssim,known,bar,0.9190185070037842
5880,brush,ssim,full,baseline,0.8364050388336182
5880,brush,ssim,full,repaint,0.8541074991226196
5880,brush,ssim,full,bar,0.8523627519607544
5880,brush,ssim,hole,baseline,0.6786873936653137
5880,brush,ssim,hole,repaint,0.6981291770935059
5880,brush,ssim,hole,bar,0.701526939868927
5880,brush,ssim,known,baseline,0.8854886293411255
5880,brush,ssim,known,repaint,0.9026497602462769
5880,brush,ssim,known,bar,0.8993045687675476
20148,center,ssim,full,baseline,0.806980550289154
20148,center,ssim,full,repaint,0.8254798650741577
20148,center,ssim,full,bar,0.8249177932739258
20148,center,ssim,hole,baseline,0.5635865926742554
20148,center,ssim,hole,repaint,0.6900989413261414
20148,center,ssim,hole,bar,0.690392255783081
20148,center,ssim,known,baseline,0.8534492254257202
20148,center,ssim,known,repaint,0.8513267040252686
20148,center,ssim,known,bar,0.8506014347076416
20148,half,ssim,full,baseline,0.5399825572967529
20148,half,ssim,full,repaint,0.5728378295898438
20148,half,ssim,full,bar,0.5828896760940552
20148,half,ssim,hole,baseline,0.2491869330406189
20148,half,ssim,hole,repaint,0.31490224599838257
20148,half,ssim,hole,bar,0.33815693855285645
20148,half,ssim,known,baseline,0.830778181552887
20148,half,ssim,known,repaint,0.8307734727859497
20148,half,ssim,known,bar,0.8276225328445435
20148,brush,ssim,full,baseline,0.759380042552948
20148,brush,ssim,full,repaint,0.799705445766449
