metric,region,mask_type,method,n,mean,std,median,min,max,rank
ssim,full,half,baseline,100,0.6100242498517037,0.06477234695658002,0.6126166582107544,0.4716789126396179,0.7560216784477234,3
ssim,hole,brush,repaint,100,0.7226345127820969,0.08722819797347338,0.7285113632678986,0.41176167130470276,0.8674430847167969,1
ssim,hole,brush,bar,100,0.7050715863704682,0.08677167320324926,0.7180475294589996,0.43165692687034607,0.8720108866691589,2
ssim,hole,brush,baseline,100,0.6626952210068703,0.09162763186629237,0.6800742745399475,0.4050208628177643,0.8202333450317383,3
ssim,hole,center,bar,100,0.6640804913640023,0.10318483713380647,0.699936717748642,0.3297344446182251,0.8234190940856934,1
ssim,hole,center,repaint,100,0.6633584314584732,0.10683919241905018,0.6839939951896667,0.3314664959907532,0.8394784331321716,2
ssim,hole,center,baseline,100,0.5872275766730308,0.11551113800096466,0.6107176244258881,0.16815969347953796,0.7745071053504944,3
ssim,hole,half,bar,100,0.5027173647284507,0.09926059220387387,0.4972388446331024,0.27832889556884766,0.7614541053771973,1
ssim,hole,half,repaint,100,0.4952529862523079,0.1028743040802824,0.49500781297683716,0.27152448892593384,0.7563791871070862,2
ssim,hole,half,baseline,100,0.3374688057601452,0.10388046309368734,0.344134196639061,0.06182108819484711,0.573582649230957,3
ssim,known,brush,repaint,100,0.8721845602989197,0.04946082891348463,0.8789810240268707,0.688515841960907,0.9454811811447144,1
ssim,known,brush,bar,100,0.8703565454483032,0.04954991622855832,0.874700278043747,0.6921314001083374,0.9433798789978027,2
ssim,known,brush,baseline,100,0.8672245997190475,0.04924032626430186,0.8731478452682495,0.6891874670982361,0.9374827146530151,3
ssim,known,center,bar,100,0.8892373424768448,0.046763929780067034,0.8938753306865692,0.7276631593704224,0.9600167274475098,1
ssim,known,center,repaint,100,0.8878676855564117,0.04747410943456983,0.8958972990512848,0.7302852869033813,0.9603065848350525,2
ssim,known,center,baseline,100,0.8873973333835602,0.0472331904055871,0.8943309485912323,0.7282914519309998,0.9595103859901428,3
ssim,known,half,baseline,100,0.8825796991586685,0.05196459602061151,0.888305127620697,0.7245984077453613,0.9635790586471558,1
ssim,known,half,bar,100,0.8817643547058105,0.050345283481200306,0.8907133936882019,0.728293776512146,0.9638220071792603,2
ssim,known,half,repaint,100,0.866972987651825,0.055956658702656814,0.8727987408638,0.7225607633590698,0.9610901474952698,3
